study,number,params_max_allowed_bout_overlap,params_max_bout_gap,params_prefilter_recipient_bouts,params_quantile_range_lower-approach,params_quantile_range_lower-chase,params_quantile_range_lower-dart_bite,params_quantile_range_lower-frontal_display,params_quantile_range_lower-lateral_display,params_quantile_range_lower-none,params_quantile_range_lower-quiver,params_quantile_range_upper-approach,params_quantile_range_upper-chase,params_quantile_range_upper-dart_bite,params_quantile_range_upper-frontal_display,params_quantile_range_upper-lateral_display,params_quantile_range_upper-none,params_quantile_range_upper-quiver,params_quantile_range_window_lower-approach,params_quantile_range_window_lower-chase,params_quantile_range_window_lower-dart_bite,params_quantile_range_window_lower-frontal_display,params_quantile_range_window_lower-lateral_display,params_quantile_range_window_lower-none,params_quantile_range_window_lower-quiver,params_quantile_range_window_upper-approach,params_quantile_range_window_upper-chase,params_quantile_range_window_upper-dart_bite,params_quantile_range_window_upper-frontal_display,params_quantile_range_window_upper-lateral_display,params_quantile_range_window_upper-none,params_quantile_range_window_upper-quiver,params_smoothing_function,params_smoothing_window-approach,params_smoothing_window-chase,params_smoothing_window-dart_bite,params_smoothing_window-frontal_display,params_smoothing_window-lateral_display,params_smoothing_window-none,params_smoothing_window-quiver,params_threshold-approach,params_threshold-chase,params_threshold-dart_bite,params_threshold-frontal_display,params_threshold-lateral_display,params_threshold-none,params_threshold-quiver,params_weight_max_probability,value
0,1803,13,28,True,0.36421669615179036,0.4351944632105555,0.4678284896092728,0.2302913767120701,0.37056596335648656,0.4712541194067258,0.4570427917260728,0.6823557851684726,0.9635835333341529,0.8058787957439936,0.6462380567603256,0.8110915118780979,0.7473591645591309,0.8622204045547273,70,68,72,12,82,34,42,72,80,36,18,82,70,80,median,80,78,74,64,90,62,78,0.164291588602702,0.7683942081427216,0.103650520126323,0.9080337831089951,0.5425209769830721,0.023277183702526724,0.31632913543636665,0.7506757470112377,0.4829396841171151
0,1804,13,27,True,0.3699843389612837,0.4384297996653438,0.46761298563968756,0.23498627068303768,0.3691776940789657,0.46991254380714675,0.4579488720926957,0.9967108919575978,0.9633541854594748,0.9882441699562172,0.6425948737087913,0.8314162805251271,0.7473190720765106,0.8641157530409449,70,68,72,12,82,34,42,72,80,26,18,82,70,80,median,80,78,74,64,90,62,78,0.1585803315170139,0.7634348192306013,0.11190028313759005,0.8453022874695075,0.4283388633157972,0.02335401063127158,0.31459615754209874,0.7543998720101904,0.48179355275479957
0,1805,13,27,True,0.36636892802716925,0.4413261718422601,0.4662502411002576,0.242468167182857,0.4276770444510599,0.47278818582070087,0.4581607636786041,0.6826852750854236,0.9636172693349017,0.8306843736678827,0.643201958731276,0.8127766683639833,0.7492366845138811,0.8634148239549122,70,68,72,12,82,34,42,72,80,34,18,82,70,80,median,80,78,74,64,90,62,78,0.09421572506945454,0.7665826819309401,0.09071951509868922,0.8488988750326728,0.5405051915514392,0.025865548160498845,0.31857761024823805,0.7534487364408318,0.48345296966859896
0,1806,13,27,True,0.3663216868741385,0.4406618694123489,0.4639952832458673,0.20870378308400986,0.3692958652841813,0.47060295395735446,0.45699776641305256,0.6784287178639211,0.9661226195214946,0.8292659510996501,0.6431878051618648,0.8113605883273273,0.7475685818457749,0.8634384939004296,70,68,72,12,82,34,42,26,80,34,18,82,70,80,median,80,78,74,64,90,62,78,0.8231397782439335,0.7617592914534237,0.08566208228227837,0.8577862483524981,0.5406238256038489,0.022332489449479125,0.314244628065197,0.7467234249550497,0.4751514824006473
0,1807,13,27,True,0.3647814162237155,0.4396285861029071,0.4659323937660825,0.42832815591061935,0.42672199367834335,0.4725632297692345,0.4558573436292653,0.6827352393589607,0.9686308829706959,0.9793743408018885,0.6417047662212404,0.811568871656644,0.7453856133849819,0.8631544067904265,70,68,72,12,82,34,42,28,80,32,18,82,70,80,median,80,78,74,64,90,62,78,0.09264863614683141,0.766480380796082,0.08544419941069456,0.8484870297527417,0.538861833514557,0.020391969952786825,0.3132919618112704,0.7452786633985155,0.48317899522176316
0,1808,13,27,True,0.3607460644041864,0.4399112812887651,0.4658505359456274,0.4280603022711742,0.36808758560000887,0.47310716283479937,0.45707076429214283,0.6819752038388599,0.9641235326679303,0.941958169776081,0.6402982758361957,0.8113985920801036,0.7478693678473355,0.8627316207686244,70,68,72,12,82,34,42,74,80,34,18,82,70,82,median,80,78,74,64,90,62,78,0.15997672328262644,0.7636895852020144,0.10686498967464964,0.8470567378235015,0.4261635595574522,0.023343938839468142,0.3122648500128842,0.7501661656905737,0.4813410412140947
0,1809,13,27,True,0.35118133734716356,0.44025107123590995,0.46799366106648455,0.24484487420827447,0.427779848040358,0.4722020134729522,0.45798369832966573,0.6843959812688635,0.9636911492903165,0.9347231002825513,0.6440243964088093,0.8303398072269578,0.7484288549606282,0.8641724567255489,70,68,72,12,82,32,42,72,80,34,18,90,70,82,median,80,78,74,64,90,62,78,0.09266702828610214,0.7656166689967575,0.10664962306390419,0.852486754863652,0.42712956298423516,0.02141608077844718,0.313777368144578,0.7550008350826926,0.48254327192701013
0,1810,13,27,True,0.35997681085600297,0.4356911713973308,0.4675798818098753,0.2285285389119021,0.4281114758169416,0.4707637832136994,0.45804865265302414,0.6825287534433244,0.9634786990368487,0.9728672838679713,0.636513238405533,0.8107166409599935,0.7479050059690646,0.8664286454105384,70,68,72,12,82,34,42,72,80,34,18,82,70,80,median,80,78,74,64,90,62,78,0.16790830120103017,0.7682688391429033,0.12947967154150897,0.8527484115481662,0.5398547716305042,0.021402021927900767,0.31404484074230093,0.7526648527760362,0.4832505984653775
0,1811,13,27,True,0.3679136618869897,0.44152459988569764,0.47042532984480995,0.42365765039822034,0.4276443704979787,0.469471093199029,0.4588127746805581,0.6830895795452248,0.9614019182175739,0.8109870675748143,0.6392751568396194,0.8120925350050334,0.7470745221662672,0.8636274518362895,70,68,72,12,82,34,40,28,80,34,18,82,70,80,median,8,78,74,64,90,62,78,0.09098573489263945,0.75785469669677,0.09986253441127976,0.8541692652964675,0.5394870851542432,0.021278963709785225,0.31369849822687773,0.7542993791460203,0.4783007117670414
0,1812,13,27,True,0.3665028146155781,0.4392076606147079,0.4687161126019848,0.2352137510885991,0.3593229216788244,0.47316685205780973,0.4580035908981503,0.6820371042555297,0.7938993517492482,0.9686412121812363,0.6452237197775028,0.8114414712417607,0.7487672868941178,0.8643774873726497,70,68,72,12,82,34,42,72,80,32,18,82,70,80,median,80,78,74,64,90,62,78,0.09049012119973196,0.762092817156691,0.12609715947497188,0.8511277029208257,0.5419770356956927,0.021437805701144036,0.3096123684026137,0.7520903410627001,0.4837549050158283
